Agriculture 农业
flock  绵羊的统称
mutton  羊肉
goat  山羊
billy  雄山羊
nanny  雌山羊
kid  年幼的山羊
pig  猪
boar  雄猪
sow  雌猪
piglet 年幼的猪
herd  猪的统称
dog  狗
dog  雄狗
bitch  雌狗
pup  年幼的狗
rabbit  兔
buck  公兔
goose  鹅
gander  雄鹅
goose  雌鹅
gosling  幼鹅
gaggle  鹅的统称
chicken  鸡
cock  公鸡
hen  母鸡
chick  小鸡
brood  鸡的统称
duck  鸭
turkey  火鸡
tom  雄火鸡
poult  小火鸡
cat  猫
tomcat  雄猫
catta  雌猫
kitten  小猫
understanding  约定
concentration  集中
investment  投资
investor  投资人
bank  银行
cheque  支票
chequebook  支票簿
endorsement  背书
transfer  转让
money  货币
issue  发行
cash  现金
change  零钱
speculation  投机
saving  储装
depreciation  减价
devaluation  (货币)贬值
revaluation  重估价
deflation  通货紧缩
quotation  报价
share  股份
dividend  股息
securities  有价证券
issue  发行股票
assigned  过户
doldrums  景气停滞
dull  盘整
ease  松弛
break  暴跌
Credit 信贷
lender  债权人
creditor  债权人
debtor  债务人
borrower  借方
borrowing  借款
interest  利息
discount  贴现
rediscount  再贴现
annuity  年金
maturity  到期日
redemption  偿还
insurance  保险
mortgage  抵押
allotment  拨款
Education 教育
instruction 教育
culture  文化
semester  学期
curriculum  课程
subject  学科
discipline  纪律
timetable  课程表
class  课
homework  家庭作业
exercise  练习
dictation  听写
seminar  研讨班
pupil  小学生
student  大学生
schoolboy  男生
schoolgirl  女生
auditor  旁听生
teachers  教师(总称)
professor  教授
schooling  授课
assistant  助教
rector  校长
dean  教务长
test  考试
examiner  考试者
question  问题
crib  夹带
prizegiving  分配奖品
failure  未考好
degree  学位
graduate  毕业生
doctorate  博士学位
doctor  博士
competitive-examination  答辩考试
Subject 科目
Chinese  语文
English  英语
Japanese  日语
mathematics  数学
science  理科
gymnastics  体育
history  历史
algebra  代数
geometry  几何
geography  地理
biology  生物
chemistry  化学
physics  物理
library  图书馆
playground  操场
desk  课桌
globe  地球仪
dictionary  词典
encyclopedia  百科全书
satchel  书包
pencil  铅笔
ink  墨水
inkwell  墨水池
rubber  橡皮
ruler 尺
protractor  量角器
flashlight  手电筒
tube  真空管
television  电视机
bulb  电灯泡
radio  收音机
microphone  麦克风
loud-speaker  扩音机
refrigerator  冰箱
tap  电线搭接处
Entertainments 娱乐
Circus 马戏
tent  帐篷
tier  看台
show  节目
ventriloquist  腹语术者
contortionist  柔术演员
acrobat  杂技演员
balancer  表演平衡技巧的人
funambulist  走钢丝者
juggler  耍把戏者
clown  小丑
giant  巨人
cage  笼子
whip  鞭子
tumble  翻筋斗
balance  平衡技巧
rings  圈
springboard  跳板
trampoline  绷床
trapeze  秋千
tightrope  绳索
fair  市场
tombola  摸彩
Dancing 舞蹈
dance  舞
ballet  芭蕾舞
steps  舞步
festival  节目
discotheque  迪斯科舞厅
records  录音
jukebox  自动点唱机
party  聚会
costume  服装
carnival  狂欢节
float  彩车
confetti  五彩纸屑
banger  响炮
rocket  起花
cabaret  余兴节目
nightclub  夜总会
comedian  喜剧演员
singer  歌手
pub  酒店
club  俱乐部
park  公园
playground  运动场
zoo  动物园
picnic  野炊
spouse  配偶
ever-married  已婚
widowed  丧偶
divorced  离婚
separated  分居
single  单身
monogamy  一夫一妻
polygyny  一夫多妻
male  男
female  女
multipara  经产妇
primipara  初产妇
multigravida  再孕妇
sterility  不育
contraception  避孕
contraceptives  避孕用品
ligation  结扎手术
vasectomy  结扎输精管
tubectomy  结扎输卵管
condom  避孕套
sterilization  绝育手术
natality  生育
fertility  生育率
fecundity  生育能力
births  出生人数
parity  胎次
mortality  死亡
natural growth  人口自然增长
cohorts  同年龄组的人
respondent  被调查者
questionaire  调查表
migration  迁居
emigration  迁出
immigration  迁入
migrant  移民
Christmas  圣诞节(12月25日)
Easter  复活节
Whitsun  圣神降临周(复活节后的第七周,尤指前三天)
Quinquagesima  四旬斋前的星期日
Ramadan  斋月
Sabbath  安息日
Septuagesima  四旬斋前的第三个星期日
Sexagesima  四旬斋前的第二个星期日
Visitation  圣母往见节(7月2日)
Flowers 花卉
azalea  杜鹃花
begonia  秋海棠
Brazil  巴西木
cactus  仙人掌
camellia  山茶花
carnation  麝香石竹(康乃馨)
chrysanthemum  菊花
dahlia  大丽花
daisy  雏菊
datura  曼陀罗
epiphyllum  昙花
fuchsia  倒挂金钟
gardenia  栀子
jasmine  茉莉
lilac  丁香
lily  百合
mangnolia  木兰花
mangnolia  玉兰花
narcissus  水仙花
oleander  夹竹桃
orchid  兰花
pansy  三色堇
peony  牡丹
peony  芍药
phalaenopsis  蝶兰
rose  玫瑰
tulip  郁金香
feeding  供养
subsistence  衣食
nutrition  食物
appetite  胃口
hunger  饥饿
thirst  口渴
gluttony  暴食
greed  贪嘴
overfeeding  吃得过多
fasting  禁食
diet  食谱
banquet  宴会
Meals types 餐类
breakfast  早餐
lunch  午餐
dinner  晚饭
soup  汤
entree  正菜
main course  主菜
sweet, dessert  甜食
snack  点心
helping  份
sandwich  三明治
meat  肉
beef  牛肉
veal  小牛肉
lamb  羊肉
sirloin  牛脊肉
steak  牛排
chop  连骨肉
cutlet  肉条
stew  炖肉
roast  烤肉
pork  猪肉
ham  火腿
bacon  咸肉
sausage  香肠
chicken  鸡
turkey  火鸡
duck  鸭
fish  鱼
vegetables  蔬菜
pasta  面条
noodles  面条
macaroni  通心粉
consomme  肉煮的清汤
broth  肉汤
milk  奶
cheese  奶酪
butter  奶油
bread  面包
crust  面包皮
crumb  面包心
egg  蛋
omelet  煎蛋卷
pastry  糕点
tart  果焰糕点
biscuits  (英)饼干
fruit  水果
ice-cream  冰激凌
compote  蜜饯
marmalade  桔子酱
spices  调料
salt  盐
vinegar  醋
sauce  酱油
oil  油
pepper  辣椒
mustard  芥末
clove  丁香
Beverages 饮料
drink  饮料
lemonade  柠檬水
beer  啤酒
claret  波尔多红葡萄酒
cider  苹果酒
champagne  香槟酒
cocktail  鸡尾酒
liqueur  白酒,烧酒
vodka  伏特加
whisky  威士忌
brandy  白兰地
cognac  法国白兰地
gin  琴酒
martini  马提尼酒
Restaurant 餐馆
canteen  (机关单位和军队里的)食堂
refectory  (学校里的)餐厅
waiter  服务员
service  服务
winelist  酒单
table  餐桌
tablecloth  桌布
cutlery  餐具
fork  叉
spoon  匙
teaspoon  茶匙
ladle  长柄勺
knife  刀
dishes  器皿
dish  碟
glass  玻璃杯
bottle  瓶子
carafe  玻璃水瓶
cup  杯子
saucer  小碟
teapot  茶壶
coffeepot  咖啡壶
cruet  调味瓶架
tray  托盘
Football 足球
field  足球场
midfied  中场
embassy  大使馆
legation  公使馆
consulate-general  总领事馆
consulate  领事馆
diplomat  外交家, 外交官
ambassador  大使
nuncio  教廷大使
internuncio  教廷公使
counsellor  参赞
attaché 随员
consul  领事
memorandum  备忘录
commnique  公报
announcement  公告
statement  声明
exequatur  许可证书
declaration  宣扬
note  照会
verbal  普通
circular  通知
formal  正式
normalization  正常化
delegation  代表团
visit  访问
obituary  讣告
luncheon  午宴
reception  招待会
toast  祝酒词
Fruits 水果
apple  苹果
pear  梨
apricot  杏
peach  桃
grape  葡萄
banana  香蕉
pineapple  菠萝
plum  李子
watermelon  西瓜
orange  橙
lemon  柠檬
mango  芒果
strawberry  草莓
medlar  枇杷
mulberry  桑椹
nectarine  油桃
cherry  樱桃
pomegranate  石榴
fig  无花果
tangerine  柑子
persimmon  柿子
walnut  胡桃
hazelnut  榛子
peanut  花生
date  枣
chestnut  粟
currant  醋粟
coconut  可可
bilberry  越桔
blackberry 黑莓
avocado  鳄梨
citron 香橼
damson  大马士革李
almond  巴旦杏
nutmeg  肉豆蔻
papaya  番木瓜
guava  番石榴
pistachio  阿月浑子
raspberry  覆盆子
soursop  刺果番荔枝
Games 游戏
player  玩游戏者
riddle  智力游戏
charade  凭动作猜字谜
hunt-the-thimble  藏手帕
puss-in-the-corner  (五人玩的)抢位置游戏
ludo  色子游戏,骰子游戏
lotto  排号码牌游戏
bingo  宾果游戏
solitaire  单人球戏
dominoes  多米诺
domino  多米诺骨牌
monopoly  独占
forfeits  处罚
draughts  西洋跳棋 (美作:checkers)
battleships  战舰棋
board  棋盘
draughtboard  西洋跳棋盘 (美作:checkerboard)
square  格
man  棋子
king  国王
chess  象棋
start  开始走子
gambit  开局时牺牲一子而取得优势
castling  王车易位
check  将军
mate  将死
king  国王
queen  王后
castle,  车
farmer  农户
producer  农业工人
settle  佃户
landowner  地主
rancher  牧场主
sharecropper  佃农
ploughman  犁田者
surrealism  超现实主义
naturalism  自然主义
existentialism  存在主义
futurism  未来主义
Literature 文学
folklore  民间文学
orbit  轨道
